PLT_CN,FPAG,STANDPLOT_CN
12964130010497,CWF4,12964130010497_1
12964130010497,CWF4,12964130010497_2
12964130010497,CWF4,12964130010497_3
12964130010497,CWF4,12964130010497_4
12964449010497,CDS6,12964449010497_1
12964449010497,CDS6,12964449010497_2
12964449010497,CDS6,12964449010497_3
12964449010497,CDS6,12964449010497_4
12964657010497,CDS6,12964657010497_2
12964657010497,CDS6,12964657010497_3
12964657010497,CDS6,12964657010497_4
12964657010497,CDS6,12964657010497_1
12965290010497,CDS6,12965290010497_1
12965290010497,CDS6,12965290010497_2
12965290010497,CDS6,12965290010497_3
12965290010497,CDS6,12965290010497_4
12965572010497,CAS3,12965572010497_1
12965572010497,CAS3,12965572010497_2
12965572010497,CAS3,12965572010497_3
12965572010497,CAS3,12965572010497_4
12965856010497,CDG1,12965856010497_1
12965856010497,CDG1,12965856010497_2
12965856010497,CDG1,12965856010497_3
12965856010497,CDG1,12965856010497_4
12966246010497,CWF4,12966246010497_1
12966246010497,CWF4,12966246010497_2
12966246010497,CWF4,12966246010497_3
12966246010497,CWF4,12966246010497_4
12967289010497,CHS1,12967289010497_1
12967289010497,CHS1,12967289010497_2
12967289010497,CHS1,12967289010497_3
12967289010497,CHS1,12967289010497_4
12968112010497,CPS2,12968112010497_1
12968112010497,CPS2,12968112010497_2
12968112010497,CPS2,12968112010497_3
12968112010497,CPS2,12968112010497_4
12968477010497,CES2,12968477010497_1
12968477010497,CES2,12968477010497_2
12968477010497,CES2,12968477010497_3
12968477010497,CES2,12968477010497_4
12969073010497,CES4,12969073010497_1
12969073010497,CES4,12969073010497_2
12969073010497,CES4,12969073010497_3
12969073010497,CES4,12969073010497_4
12970163010497,CDG1,12970163010497_1
12970163010497,CDG1,12970163010497_2
12970163010497,CDG1,12970163010497_4
12970163010497,CDG1,12970163010497_3
12970308010497,CAC1,12970308010497_1
12970308010497,CAC1,12970308010497_2
12970308010497,CAC1,12970308010497_3
12970308010497,CAC1,12970308010497_4
12978066010497,CHS6,12978066010497_1
12978066010497,CHS6,12978066010497_2
12978066010497,CHS6,12978066010497_3
12978066010497,CHS6,12978066010497_4
12979119010497,CDS7,12979119010497_1
12979119010497,CDS7,12979119010497_2
12979119010497,CDS7,12979119010497_3
12979119010497,CDS7,12979119010497_4
12979628010497,CEF2,12979628010497_1
12979628010497,CEF2,12979628010497_2
12979628010497,CEF2,12979628010497_3
12979628010497,CEF2,12979628010497_4
12979966010497,CDG1,12979966010497_3
12979966010497,CDG1,12979966010497_4
12979966010497,CDG1,12979966010497_1
12979966010497,CDG1,12979966010497_2
12980320010497,CES4,12980320010497_1
12980320010497,CES4,12980320010497_2
12980320010497,CES4,12980320010497_3
12980320010497,CES4,12980320010497_4
12981004010497,CES3,12981004010497_3
12981004010497,CES3,12981004010497_4
12981004010497,CES3,12981004010497_1
12981004010497,CES3,12981004010497_2
12981943010497,CDS8,12981943010497_3
12981943010497,CDS8,12981943010497_4
12981943010497,CDS8,12981943010497_1
12981943010497,CDS8,12981943010497_2
12983238010497,CES1,12983238010497_1
12983238010497,CES1,12983238010497_2
12983238010497,CES1,12983238010497_3
12983238010497,CES1,12983238010497_4
12987852010497,CH,12987852010497_1
12987852010497,CH,12987852010497_2
12987852010497,CH,12987852010497_3
12987852010497,CH,12987852010497_4
12988512010497,CD,12988512010497_1
12988512010497,CD,12988512010497_2
12988512010497,CD,12988512010497_3
12988512010497,CD,12988512010497_4
12988854010497,CMS3,12988854010497_1
12988854010497,CMS3,12988854010497_2
12988854010497,CMS3,12988854010497_3
12988854010497,CMS3,12988854010497_4
12990036010497,CMS3,12990036010497_1
12990036010497,CMS3,12990036010497_2
12990036010497,CMS3,12990036010497_3
12990036010497,CMS3,12990036010497_4
12990744010497,CFF4,12990744010497_1
12990744010497,CFF4,12990744010497_2
12990744010497,CFF4,12990744010497_3
12990744010497,CFF4,12990744010497_4
12992742010497,CWF2,12992742010497_1
12992742010497,CWF2,12992742010497_2
12992742010497,CWF2,12992742010497_3
12992742010497,CWF2,12992742010497_4
12993100010497,CFS1,12993100010497_1
12993100010497,CFS1,12993100010497_2
12993100010497,CFS1,12993100010497_3
12993100010497,CFS1,12993100010497_4
12993736010497,CF,12993736010497_1
12993736010497,CF,12993736010497_2
12993736010497,CF,12993736010497_3
12993736010497,CF,12993736010497_4
12994209010497,CFF2,12994209010497_1
12994209010497,CFF2,12994209010497_2
12994209010497,CFF2,12994209010497_3
12994209010497,CFF2,12994209010497_4
12994987010497,CMS3,12994987010497_2
12994987010497,CMS3,12994987010497_3
12994987010497,CMS3,12994987010497_4
12994987010497,CMS3,12994987010497_1
12995862010497,CMS3,12995862010497_1
12995862010497,CMS3,12995862010497_2
12995862010497,CMS3,12995862010497_3
12995862010497,CMS3,12995862010497_4
12996220010497,CWS2,12996220010497_2
12996220010497,CWS2,12996220010497_3
12996220010497,CWS2,12996220010497_4
12996220010497,CWS2,12996220010497_1
12996530010497,CWS5,12996530010497_1
12996530010497,CWS5,12996530010497_2
12996530010497,CWS5,12996530010497_3
12996530010497,CWS5,12996530010497_4
12996941010497,CDG1,12996941010497_1
12996941010497,CDG1,12996941010497_2
12996941010497,CDG1,12996941010497_3
12996941010497,CDG1,12996941010497_4
12997185010497,CHF2,12997185010497_2
12997185010497,CHF2,12997185010497_3
12997185010497,CHF2,12997185010497_4
12997185010497,CHF2,12997185010497_1
12997981010497,CHF1,12997981010497_3
12997981010497,CHF1,12997981010497_4
12997981010497,CHF1,12997981010497_2
12997981010497,CHF1,12997981010497_1
12998890010497,CHS6,12998890010497_1
12998890010497,CHS6,12998890010497_2
12998890010497,CHS6,12998890010497_3
12998890010497,CHS6,12998890010497_4
12999289010497,CFS5,12999289010497_1
12999289010497,CFS5,12999289010497_3
12999289010497,CFS5,12999289010497_4
12999289010497,CFS5,12999289010497_2
12999481010497,CHF1,12999481010497_2
12999481010497,CHF1,12999481010497_3
12999481010497,CHF1,12999481010497_4
12999481010497,CHF1,12999481010497_1
13000318010497,CH,13000318010497_4
13000318010497,CH,13000318010497_1
13000318010497,CH,13000318010497_2
13000318010497,CH,13000318010497_3
13001314010497,CHS6,13001314010497_1
13001314010497,CHS6,13001314010497_2
13001314010497,CHS6,13001314010497_3
13001314010497,CHS6,13001314010497_4
13003271010497,CFS2,13003271010497_1
13003271010497,CFS2,13003271010497_2
13003271010497,CFS2,13003271010497_4
13003271010497,CFS2,13003271010497_3
13003592010497,CWS5,13003592010497_1
13003592010497,CWS5,13003592010497_2
13003592010497,CWS5,13003592010497_3
13003592010497,CWS5,13003592010497_4
13004916010497,CFS2,13004916010497_1
13004916010497,CFS2,13004916010497_2
13004916010497,CFS2,13004916010497_3
13004916010497,CFS2,13004916010497_4
13005723010497,CMS2,13005723010497_1
13005723010497,CMS2,13005723010497_2
13005723010497,CMS2,13005723010497_3
13005723010497,CMS2,13005723010497_4
13006851010497,CHS6,13006851010497_1
13006851010497,CHS6,13006851010497_2
13006851010497,CHS6,13006851010497_3
13006851010497,CHS6,13006851010497_4
13008009010497,CH,13008009010497_1
13008009010497,CH,13008009010497_3
13008009010497,CH,13008009010497_4
13008009010497,CH,13008009010497_2
13008616010497,CMS2,13008616010497_1
13008616010497,CMS2,13008616010497_2
13008616010497,CMS2,13008616010497_3
13008616010497,CMS2,13008616010497_4
13009244010497,CFS3,13009244010497_1
