OID_,CN,LAT,LON
1,24193055010900.000000000000000,48.054144999999998,-121.566620999999998
2,24193194010900.000000000000000,48.063023000000001,-121.785912999999994
3,24193209010900.000000000000000,48.080953999999998,-121.247755999999995
4,24193223010900.000000000000000,48.109471999999997,-121.412075000000002
5,24193687010900.000000000000000,48.154404000000000,-121.049784000000002
6,24194292010900.000000000000000,48.204307000000000,-121.633421999999996
7,24194431010900.000000000000000,48.252744000000000,-121.419687999999994
8,24194797010900.000000000000000,48.252612999999997,-121.268193999999994
9,24195284010900.000000000000000,48.293129000000000,-121.116207000000003
10,24489926010900.000000000000000,46.818404999999998,-121.824589000000003
11,24490161010900.000000000000000,46.862242999999999,-121.680452000000002
12,24490178010900.000000000000000,46.913322000000001,-121.689114000000004
13,24490195010900.000000000000000,47.107258999999999,-121.973281000000000
14,24490736010900.000000000000000,46.953136999999998,-121.895961000000000
15,24490945010900.000000000000000,47.024987000000003,-121.736915999999994
16,24491293010900.000000000000000,47.005802000000003,-121.527463999999995
17,24124884010900.000000000000000,47.950843999999996,-120.833212000000003
18,24124992010900.000000000000000,47.947938999999998,-121.059404999999998
19,24125006010900.000000000000000,47.972817999999997,-120.507930999999999
20,24125434010900.000000000000000,47.997714999999999,-120.678825000000003
21,24125746010900.000000000000000,48.036053000000003,-120.327218000000002
22,24126035010900.000000000000000,48.099912000000003,-120.913791000000003
23,24126049010900.000000000000000,48.139256000000003,-120.688201000000007
24,24126063010900.000000000000000,48.144331999999999,-120.532005999999996
25,24126423010900.000000000000000,48.243369999999999,-120.899231000000000
26,24126437010900.000000000000000,48.285457999999998,-120.533714000000003
27,24126451010900.000000000000000,48.298813000000003,-120.965377000000004
28,24126467010900.000000000000000,48.315145000000001,-120.737466999999995
29,24126481010900.000000000000000,48.415038000000003,-120.953472000000005
30,24126675010900.000000000000000,48.489443999999999,-120.735229000000004
31,24491893010900.000000000000000,47.158738999999997,-122.103899999999996
32,24492594010900.000000000000000,48.330495999999997,-121.631390999999994
33,24492947010900.000000000000000,48.304437000000000,-121.430379000000002
34,24493462010900.000000000000000,48.457253999999999,-121.778222000000000
35,24493767010900.000000000000000,48.455064000000000,-121.487082000000001
36,24494111010900.000000000000000,48.504666999999998,-121.653191000000007
37,24494128010900.000000000000000,48.504860000000001,-121.086021000000002
38,24494145010900.000000000000000,48.523983999999999,-121.295371000000003
39,24494501010900.000000000000000,48.551746000000001,-120.937596999999997
40,24203073010900.000000000000000,48.701785999999998,-121.695277000000004
41,24203361010900.000000000000000,48.714998999999999,-121.344858000000002
42,24203376010900.000000000000000,48.746059000000002,-121.543689999999998
43,24203697010900.000000000000000,48.747542000000003,-121.003724000000005
44,24204095010900.000000000000000,48.790546999999997,-121.183762999999999
45,24204444010900.000000000000000,48.787860999999999,-120.791901999999993
46,24205275010900.000000000000000,48.905188000000003,-121.359477999999996
47,24205290010900.000000000000000,48.895612000000000,-121.551148999999995
48,24205541010900.000000000000000,48.897292000000000,-121.021439999999998
49,24205862010900.000000000000000,48.945121999999998,-121.193306000000007
50,24499321010900.000000000000000,47.812950000000001,-121.864699999999999
51,24499453010900.000000000000000,47.793095999999998,-121.693349999999995
52,24499760010900.000000000000000,47.836436999999997,-121.508612999999997
53,24500127010900.000000000000000,47.811565999999999,-121.352603000000002
54,24500369010900.000000000000000,47.875928000000002,-121.164556000000005
55,24500634010900.000000000000000,47.965043999999999,-121.727267999999995
56,24500882010900.000000000000000,47.983629999999998,-121.884549000000007
57,24133730010900.000000000000000,47.336444999999998,-120.033629000000005
58,24133741010900.000000000000000,47.525064000000000,-120.252263999999997
59,24133752010900.000000000000000,47.530914000000003,-119.716936000000004
60,24133763010900.000000000000000,47.558850999999997,-119.892368000000005
61,24133774010900.000000000000000,47.620519999999999,-120.155755999999997
62,24133789010900.000000000000000,47.576715000000000,-119.550965000000005
63,24133800010900.000000000000000,47.670279000000001,-120.096297000000007
64,24133811010900.000000000000000,47.718800999999999,-119.915305000000004
65,24133822010900.000000000000000,47.687666000000000,-119.735274000000004
66,24133833010900.000000000000000,47.735467999999997,-119.574218000000002
67,24133844010900.000000000000000,47.705544000000003,-119.381500000000003
68,24133855010900.000000000000000,47.852705000000000,-119.763075000000001
69,24133866010900.000000000000000,47.873759999999997,-119.409554000000000
70,24133877010900.000000000000000,47.902473000000001,-119.589884999999995
71,24133888010900.000000000000000,47.923015999999997,-119.236465999999993
72,24133899010900.000000000000000,47.928660000000001,-119.163426999999999
73,24133915010900.000000000000000,48.018996000000001,-119.811994999999996
74,24133929010900.000000000000000,48.034191000000000,-119.429817000000000
75,24133951010900.000000000000000,48.089942999999998,-119.255916999999997
76,22398268010497.000000000000000,48.489584999999998,-118.999430000000004
77,22398269010497.000000000000000,48.640734999999999,-119.995344000000003
78,22398270010497.000000000000000,48.587730999999998,-119.815307000000004
79,22398271010497.000000000000000,48.461806000000003,-120.401679000000001
80,22398272010497.000000000000000,48.138002000000000,-120.201134999999994
81,22398273010497.000000000000000,48.593769000000002,-119.959613000000004
82,22398274010497.000000000000000,48.573259000000000,-120.102990000000005
83,22398275010497.000000000000000,48.811062000000000,-118.976763000000005
84,22398276010497.000000000000000,48.631883999999999,-120.320124000000007
85,22398278010497.000000000000000,48.703519000000000,-120.316211999999993
86,22398279010497.000000000000000,48.918142000000003,-119.378927000000004
87,22398280010497.000000000000000,48.834757000000003,-118.967702000000003
88,22398281010497.000000000000000,48.226393999999999,-119.977614000000003
89,22398282010497.000000000000000,48.026513000000001,-120.063323999999994
90,22398283010497.000000000000000,48.301605000000002,-120.151249000000007
91,22398284010497.000000000000000,48.674585999999998,-120.030381000000006
92,22398285010497.000000000000000,48.104531999999999,-120.065659999999994
93,22398286010497.000000000000000,48.158211999999999,-120.202389999999994
94,22398287010497.000000000000000,48.026935999999999,-119.989652000000007
95,22398288010497.000000000000000,48.588642000000000,-119.776426000000001
96,22398289010497.000000000000000,48.548364999999997,-119.257356999999999
97,22398290010497.000000000000000,48.256438000000003,-120.012300999999994
98,22398291010497.000000000000000,48.134269000000003,-120.133920000000003
99,22398292010497.000000000000000,47.985968000000000,-120.062728000000007
100,22398293010497.000000000000000,48.544243000000002,-119.138979000000006
101,22398294010497.000000000000000,48.752070000000003,-120.278323999999998
102,22398295010497.000000000000000,48.347078000000003,-119.977564999999998
103,22398296010497.000000000000000,48.517282999999999,-118.960707999999997
104,24167156010900.000000000000000,48.331007000000000,-120.371386000000001
105,24167452010900.000000000000000,48.322355999999999,-119.803179999999998
106,24167587010900.000000000000000,48.376589000000003,-120.028936999999999
107,24167600010900.000000000000000,48.368656000000001,-119.509782999999999
108,24167614010900.000000000000000,48.375168000000002,-119.666720999999995
109,24167707010900.000000000000000,48.368353999999997,-119.145887000000002
110,24167857010900.000000000000000,48.442086000000003,-120.598698999999996
111,24167871010900.000000000000000,48.413696000000002,-119.297368000000006
112,24168055010900.000000000000000,48.430900999999999,-118.949268000000004
113,24168297010900.000000000000000,48.502084000000004,-120.446650000000005
114,24168311010900.000000000000000,48.515641000000002,-119.853244000000004
115,24168542010900.000000000000000,48.522351999999998,-120.075826000000006
116,24168861010900.000000000000000,48.520105000000001,-119.500716999999995
117,24168875010900.000000000000000,48.548445999999998,-119.685607000000005
118,24168888010900.000000000000000,48.562781000000001,-119.360872999999998
119,24168902010900.000000000000000,48.551645999999998,-119.173647000000003
120,24169158010900.000000000000000,48.637669000000002,-120.813292000000004
121,24169469010900.000000000000000,48.610408000000000,-120.615172000000001
122,24169827010900.000000000000000,48.615504000000001,-119.910791000000003
123,24170051010900.000000000000000,48.588157000000002,-118.958303000000001
124,24170347010900.000000000000000,48.678786000000002,-120.440781999999999
125,24170596010900.000000000000000,48.620449000000001,-120.206688000000000
126,24170891010900.000000000000000,48.671771000000000,-120.063188999999994
127,24171377010900.000000000000000,48.671084999999998,-119.913546999999994
128,24501038010900.000000000000000,48.014071999999999,-121.349042999999995
129,24501229010900.000000000000000,48.007230000000000,-121.537229999999994
130,24501251010900.000000000000000,48.053908000000000,-121.200575999999998
131,24501439010900.000000000000000,48.112958999999996,-121.712321000000003
132,24501961010900.000000000000000,48.158095000000003,-121.411435999999995
133,24502332010900.000000000000000,48.161960000000001,-121.565759000000000
134,24502803010900.000000000000000,48.171306999999999,-121.043210999999999
135,24503122010900.000000000000000,48.203226000000001,-121.196681999999996
136,24510303010900.000000000000000,47.999088000000000,-120.990013000000005
137,24510325010900.000000000000000,48.051144000000001,-120.688500000000005
138,24510595010900.000000000000000,48.052371999999998,-120.824242999999996
139,24510895010900.000000000000000,48.061663000000003,-120.279714999999996
140,24511125010900.000000000000000,48.109651999999997,-120.281250999999997
141,24511330010900.000000000000000,48.222639000000001,-120.861114000000001
142,24511344010900.000000000000000,48.192655999999999,-120.673282999999998
143,24511565010900.000000000000000,48.238112000000001,-120.537542000000002
144,24511775010900.000000000000000,48.347431000000000,-121.031374000000000
145,24139653010900.000000000000000,46.861331000000000,-119.959463000000000
146,24139675010900.000000000000000,46.906162000000002,-119.801496000000000
147,24139713010900.000000000000000,47.043793000000001,-119.641176000000002
148,24139724010900.000000000000000,47.064670000000000,-119.821321999999995
149,24139757010900.000000000000000,47.162759999999999,-119.690297999999999
150,24139784010900.000000000000000,47.237879999999997,-119.843590000000006
151,24139795010900.000000000000000,47.204661000000002,-119.667299000000000
152,24139806010900.000000000000000,47.256870999999997,-119.502999000000003
153,24139839010900.000000000000000,47.362813000000003,-119.685365000000004
154,24139850010900.000000000000000,47.397176999999999,-119.871122000000000
155,24139938010900.000000000000000,47.761257999999998,-119.212114999999997
156,24171681010900.000000000000000,48.683492000000001,-119.521693999999997
157,24171695010900.000000000000000,48.716459999999998,-119.722481000000002
158,24171913010900.000000000000000,48.693734999999997,-119.161410000000004
159,24172101010900.000000000000000,48.785192000000002,-120.647019999999998
160,24172401010900.000000000000000,48.710160999999999,-119.352436999999995
161,24172415010900.000000000000000,48.781641999999998,-120.274805999999998
162,24172796010900.000000000000000,48.752456000000002,-118.984859999999998
163,24172809010900.000000000000000,48.825543000000003,-120.494180999999998
164,24173107010900.000000000000000,48.830689999999997,-119.917919999999995
165,24173414010900.000000000000000,48.842334000000001,-120.108483000000007
166,24173428010900.000000000000000,48.858896000000001,-119.565797000000003
167,24173443010900.000000000000000,48.855817999999999,-119.198758999999995
168,24173457010900.000000000000000,48.923959000000004,-120.643863999999994
169,24173727010900.000000000000000,48.895460999999997,-119.371409000000000
170,24173984010900.000000000000000,48.964435000000002,-120.299109000000001
171,24174374010900.000000000000000,48.901274999999998,-119.041027999999997
172,24174388010900.000000000000000,48.979160999999998,-120.489396999999997
173,24174610010900.000000000000000,48.963484000000001,-119.967948000000007
174,22398297010497.000000000000000,48.790806000000003,-120.060450000000003
175,22398298010497.000000000000000,48.856668999999997,-119.010789000000003
176,22398299010497.000000000000000,48.280416000000002,-119.979633000000007
177,22398300010497.000000000000000,48.549072000000002,-120.070768999999999
178,22398301010497.000000000000000,48.665171000000001,-118.947607000000005
179,22398302010497.000000000000000,48.260747000000002,-120.268609999999995
180,22398314010497.000000000000000,46.983193999999997,-121.931071000000003
181,22398315010497.000000000000000,46.951625000000000,-121.962883000000005
182,22398316010497.000000000000000,47.099699999999999,-121.551348000000004
183,22398317010497.000000000000000,48.423079000000001,-121.368882999999997
184,22398318010497.000000000000000,48.380631000000001,-121.772721000000004
185,24506532010900.000000000000000,47.274225999999999,-120.362082999999998
186,24506847010900.000000000000000,47.271501999999998,-120.152163000000002
187,24506863010900.000000000000000,47.420676000000000,-120.736165000000000
188,24507130010900.000000000000000,47.406168999999998,-120.562839999999994
189,24507295010900.000000000000000,47.421523000000001,-120.366876000000005
190,24507318010900.000000000000000,47.507702000000002,-120.929029000000000
191,24507342010900.000000000000000,47.564404000000003,-120.582470000000001
192,24507359010900.000000000000000,47.573335999999998,-120.735230000000001
193,24507595010900.000000000000000,47.705404999999999,-120.918182000000002
