SPECIES_code,sum_tpa,spp_symbl,spp_name,spgrpcd,grp_name,grp_abbr
201,150,PSMA,bigcone douglas fir,10,douglas fir,PSME
202,262843,PSME,douglas fir,10,douglas fir,PSME
122,53668,PIPO,ponderosa pine,11,ponderosa and jeffrey pines,PIPO
11,752493,ABAM,pacific silver fir,12,true fir,ABIES
15,99,ABCO,white fir,12,true fir,ABIES
17,163241,ABGR,grand fir,12,true fir,ABIES
19,289730,ABLA,subalpine fir,12,true fir,ABIES
22,18754,ABPR,noble fir,12,true fir,ABIES
263,432255,TSHE,western hemlock,13,western hemlock,TSHE
119,16780,PIMO3,western white pine,15,western white pine,PIMO3
98,311,PISI,sitka spruce,17,engelmann and other spruces,PIEN
93,113578,PIEN,engelmann spruce,18,engelmann and other spruces,PIEN
73,73892,LAOC,western larch,19,western larch,LAOC
108,164734,PICO,lodgepole pine,21,lodgepole pine,PICO
242,69456,THPL,western redcedar,22,western redcedar,THPL
41,375,CHLA,port orford cedar,24,other western softwoods,SOFT
42,32468,CHNO,alaska yellow cedar,24,other western softwoods,SOFT
72,5389,LALY,subalpine larch,24,other western softwoods,SOFT
101,9336,PIAL,whitebark pine,24,other western softwoods,SOFT
231,18334,TABR2,pacific yew,24,other western softwoods,SOFT
264,73631,TSME,mountain hemlock,24,other western softwoods,SOFT
746,10671,POTR5,quaking aspen,44,cottonwood and aspen,POPL
747,1059,POBAT,black cottonwood,44,cottonwood and aspen,POPL
351,6912,ALRU2,red alder,45,red alder,ALNU
815,7374,QUGA4,oregon white oak,46,oak,QUERC
312,6070,ACMA3,bigleaf maple,47,other western hardwoods,HARD
352,624,ALRH2,white alder,47,other western hardwoods,HARD
361,6,ARME,pacific madrone,47,other western hardwoods,HARD
374,306,BEOC2,water birch,47,other western hardwoods,HARD
375,1803,BEPA,paper birch,47,other western hardwoods,HARD
492,999,CONU4,pacific dogwood,47,other western hardwoods,HARD
542,93,FRLA,oregon ash,47,other western hardwoods,HARD
603,14,JUHI,northern california black walnut,47,other western hardwoods,HARD
661,7578,MAFU,oregon crab apple,47,other western hardwoods,HARD
761,225,PRPE2,pin cherry,47,other western hardwoods,HARD
763,8996,PRVI,chokecherry,47,other western hardwoods,HARD
768,13188,PREM,bitter cherry,47,other western hardwoods,HARD
998,300,2TB,unknown dead hardwood,47,other western hardwoods,HARD
999,75,2TREE,other or unknown live tree,47,other western hardwoods,HARD
321,15850,ACGL,rocky mountain maple,48,woodland hardwoods,ACGL
