CN,LAT,LON
22398452010497,46.188542,-117.50434
22398453010497,47.350798,-123.69967
22398454010497,47.482171,-123.507104
22398455010497,47.373768,-123.72232
22398456010497,47.356098,-123.982714
22398457010497,47.350626,-123.900809
22398458010497,47.393738,-123.734304
22398459010497,47.596469,-123.979124
22398460010497,47.845352,-122.962208
22398461010497,47.575277,-124.018251
24193055010900,48.054145,-121.566621
24193194010900,48.063023,-121.785913
24193209010900,48.080954,-121.247756
24193223010900,48.109472,-121.412075
24193544010900,48.162668,-122.298943
24193687010900,48.154404,-121.049784
24193955010900,48.180022,-122.527323
24193969010900,48.213309,-122.223986
24193984010900,48.21094,-122.142569
24193999010900,48.167573,-121.997941
24194292010900,48.204307,-121.633422
24194431010900,48.252744,-121.419688
24194797010900,48.252613,-121.268194
24195284010900,48.293129,-121.116207
24195448010900,47.303276,-117.573927
24195559010900,47.282595,-117.169295
24195575010900,47.353269,-117.719623
24195589010900,47.346399,-117.19576
24195603010900,47.362865,-117.393185
24195614010900,47.35207,-117.065729
24195628010900,47.489754,-117.574747
24195641010900,47.505034,-117.797689
24195772010900,47.498261,-117.221991
24195786010900,47.507971,-117.429597
24195913010900,47.555985,-117.062695
24195938010900,47.658001,-117.779064
24195949010900,47.632514,-117.599009
24195960010900,47.646956,-117.244685
24195971010900,47.687817,-117.420595
24195982010900,47.684037,-117.067795
24195996010900,47.744923,-117.638622
24196084010900,47.799888,-117.64133
24196098010900,47.7953,-117.281842
24196146010900,47.842649,-117.425049
24196160010900,47.852745,-117.09575
24196450010900,48.002525,-117.469113
24196464010900,47.99193,-117.281803
24196478010900,48.04305,-117.124524
24196678010900,47.852147,-117.809693
24196692010900,47.952068,-118.006738
24196872010900,47.980948,-118.175344
24486945010900,48.384586,-117.490918
24487262010900,48.394222,-117.127236
24487495010900,48.435388,-117.278596
24487694010900,48.594957,-117.309468
24487888010900,48.578397,-117.142236
24488200010900,48.706236,-117.48921
24488526010900,48.71247,-117.136406
24489008010900,48.880927,-117.17377
24489334010900,48.913815,-117.319527
24489700010900,46.773536,-122.189518
24489926010900,46.818405,-121.824589
24489967010900,46.815007,-122.036813
24490161010900,46.862243,-121.680452
24490178010900,46.913322,-121.689114
24490195010900,47.107259,-121.973281
24490549010900,46.956622,-122.052883
24490736010900,46.953137,-121.895961
24490945010900,47.024987,-121.736916
24491293010900,47.005802,-121.527464
24491571010900,47.059613,-122.598369
24352,45.705406,-121.067856
24354,45.649288,-121.115074
24355,47.91016,-118.597229
24357,47.856548,-118.200821
24359,47.856827,-118.309425
24360,47.864388,-118.46093
24362,47.887653,-118.76696
24363,47.808495,-118.473885
24365,47.821548,-118.314148
24367,47.815441,-118.193314
24369,47.788776,-117.964684
24371,47.732941,-117.874405
24372,47.769325,-118.0308
24124884010900,47.950844,-120.833212
24124992010900,47.947939,-121.059405
24125006010900,47.972818,-120.507931
24125434010900,47.997715,-120.678825
24125746010900,48.036053,-120.327218
24126035010900,48.099912,-120.913791
24126049010900,48.139256,-120.688201
24126063010900,48.144332,-120.532006
24126423010900,48.24337,-120.899231
24126437010900,48.285458,-120.533714
24126451010900,48.298813,-120.965377
24126467010900,48.315145,-120.737467
24126481010900,48.415038,-120.953472
24126675010900,48.489444,-120.735229
24126688010900,47.91731,-123.365882
24126702010900,47.913282,-123.51133
24126717010900,47.917651,-123.032052
24126993010900,47.967742,-124.476138
24127366010900,47.970643,-124.616023
24127766010900,48.0142,-124.281792
24128056010900,48.021469,-123.737591
24128071010900,48.059553,-123.962698
24128337010900,48.06207,-123.370678
24128351010900,48.085279,-123.587409
24128601010900,48.113817,-123.520449
24128718010900,48.149784,-124.700359
24128987010900,48.159662,-124.110434
24129211010900,48.160802,-124.34238
24129466010900,48.263441,-124.55815
24129690010900,45.95419,-122.353876
24129825010900,45.707419,-122.696308
24129855010900,45.854463,-122.554375
24130026010900,45.894803,-122.413396
24130280010900,46.047217,-122.285877
24130453010900,46.036188,-117.940058
24130728010900,46.182277,-117.987997
24130742010900,46.172115,-117.794689
24131003010900,46.305029,-118.150765
24491696010900,47.107505,-122.252271
24491758010900,47.105569,-122.469957
24491893010900,47.158739,-122.1039
24491958010900,47.247985,-122.83743
24491972010900,47.290749,-122.466005
24491986010900,47.401667,-122.68363
24492095010900,48.51007,-122.887085
24492264010900,48.559043,-123.098248
24492376010900,48.567272,-122.755058
24492390010900,48.658668,-122.96053
24492422010900,48.313076,-121.934861
24492594010900,48.330496,-121.631391
24492947010900,48.304437,-121.430379
24492962010900,48.400569,-122.539283
24493125010900,48.35334,-121.95072
24493260010900,48.408814,-122.16233
24493446010900,48.446977,-122.356247
24493462010900,48.457254,-121.778222
24493752010900,48.454367,-122.014928
24493767010900,48.455064,-121.487082
24494111010900,48.504667,-121.653191
