Value,Count,tl_id,CN,PredCN
5549,307.000000000000000,5549,12160602010690,12160602010690
6210,1.000000000000000,6210,188779040020004,188779040020004
8133,214.000000000000000,8133,273642029489998,273642029489998
8139,6.000000000000000,8139,345936707489998,345936707489998
8142,70.000000000000000,8142,22952986010497,22952986010497
8150,3.000000000000000,8150,273642916489998,273642916489998
8151,333.000000000000000,8151,216961529020004,216961529020004
8152,13.000000000000000,8152,345936725489998,345936725489998
8155,28.000000000000000,8155,29880711010497,29880711010497
8159,120.000000000000000,8159,273642915489998,273642915489998
8166,33.000000000000000,8166,30764037020004,30764037020004
8171,9.000000000000000,8171,22930028010497,22930028010497
8183,1.000000000000000,8183,48205888010497,48205888010497
8188,7.000000000000000,8188,216960131020004,216960131020004
8200,3.000000000000000,8200,29394698010497,29394698010497
8224,10.000000000000000,8224,273641183489998,273641183489998
8279,2.000000000000000,8279,345935880489998,345935880489998
8330,32.000000000000000,8330,216961603020004,216961603020004
8331,150.000000000000000,8331,44541368020004,44541368020004
8338,1.000000000000000,8338,29394922010497,29394922010497
8346,6.000000000000000,8346,29880506010497,29880506010497
8356,1.000000000000000,8356,22953663010497,22953663010497
8359,22.000000000000000,8359,30761983020004,30761983020004
8365,35.000000000000000,8365,48205162010497,48205162010497
8369,2023.000000000000000,8369,30852639020004,30852639020004
8379,534.000000000000000,8379,44542394020004,44542394020004
8382,18.000000000000000,8382,22953685010497,22953685010497
8392,9.000000000000000,8392,8600844010901,8600844010901
8399,32.000000000000000,8399,29880493010497,29880493010497
8402,632.000000000000000,8402,22931971010497,30852264020004
8409,19.000000000000000,8409,30761992020004,30761992020004
8412,12.000000000000000,8412,29880223010497,29880223010497
8426,1.000000000000000,8426,22953278010497,22953278010497
8479,2.000000000000000,8479,216959706020004,216959706020004
8491,10.000000000000000,8491,30761878020004,30761878020004
8500,10.000000000000000,8500,30761611020004,216961738020004
8550,2155.000000000000000,8550,22931610010497,22931610010497
8567,28.000000000000000,8567,345933341489998,345933341489998
8586,13.000000000000000,8586,44540536020004,44540536020004
8592,14.000000000000000,8592,40218368010497,40218368010497
8612,118.000000000000000,8612,44542445020004,44542445020004
8637,2.000000000000000,8637,22953071010497,22953071010497
8671,44.000000000000000,8671,48203909010497,22931941010497
8984,2.000000000000000,8984,22953341010497,22953341010497
9000,1.000000000000000,9000,44542767020004,44542767020004
9109,4.000000000000000,9109,30761910020004,30761910020004
9160,3.000000000000000,9160,22953135010497,22953135010497
9171,6.000000000000000,9171,345935935489998,345935935489998
9187,22.000000000000000,9187,216958724020004,216958724020004
9202,63.000000000000000,9202,30762275020004,30762275020004
9226,15.000000000000000,9226,48204029010497,48204029010497
9294,9.000000000000000,9294,40218449010497,40218449010497
9635,23.000000000000000,9635,44542204020004,44542204020004
9663,1.000000000000000,9663,29880449010497,29880449010497
9729,1.000000000000000,9729,30762421020004,216961001020004
9734,1.000000000000000,9734,29394771010497,29394771010497
9768,20.000000000000000,9768,216959020020004,216959020020004
9804,121.000000000000000,9804,44542140020004,30762006020004
9826,4.000000000000000,9826,345935264489998,345935264489998
10170,54.000000000000000,10170,40218744010497,40218744010497
10232,10.000000000000000,10232,22931741010497,22931741010497
10243,150.000000000000000,10243,216961040020004,29880560010497
10289,34.000000000000000,10289,40218693010497,48204498010497
10299,43.000000000000000,10299,22931727010497,22931727010497
10416,6.000000000000000,10416,8955350010901,8955350010901
10434,1.000000000000000,10434,44543615020004,44543615020004
10519,520.000000000000000,10519,29881210010497,29881210010497
10532,3.000000000000000,10532,40218825010497,40218825010497
10555,137.000000000000000,10555,22931941010497,22931941010497
10558,1.000000000000000,10558,216961648020004,216961648020004
10585,81.000000000000000,10585,345936720489998,345936720489998
10600,34.000000000000000,10600,22931954010497,22931954010497
10633,78.000000000000000,10633,29394746010497,29394746010497
10644,3.000000000000000,10644,40218849010497,40218849010497
10670,50.000000000000000,10670,273641192489998,273641192489998
10715,136.000000000000000,10715,13123439010497,13123439010497
10722,2.000000000000000,10722,216959138020004,216959138020004
10731,85.000000000000000,10731,29880412010497,29880412010497
10804,26.000000000000000,10804,40218659010497,40218659010497
10808,2.000000000000000,10808,22953454010497,22953454010497
10810,7.000000000000000,10810,48204498010497,48204498010497
10814,2.000000000000000,10814,216959239020004,216959239020004
10817,1.000000000000000,10817,44541849020004,44541849020004
10822,4.000000000000000,10822,345935698489998,345935698489998
10861,2.000000000000000,10861,216961001020004,216961001020004
10872,1.000000000000000,10872,44543237020004,44543237020004
10914,123.000000000000000,10914,29881343010497,29881343010497
10936,14.000000000000000,10936,40218794010497,40218794010497
10979,16.000000000000000,10979,273641854489998,273641854489998
11040,25.000000000000000,11040,8975161010901,8975161010901
11079,2.000000000000000,11079,48205945010497,48205945010497
11081,25.000000000000000,11081,30762832020004,30762832020004
11184,172.000000000000000,11184,30762833020004,30762833020004
11210,115.000000000000000,11210,40218200010497,40218200010497
11234,1.000000000000000,11234,29879449010497,29879449010497
11238,12.000000000000000,11238,216961453020004,216961453020004
11256,13.000000000000000,11256,216958666020004,40218368010497
11283,37.000000000000000,11283,345936709489998,345936709489998
11292,8.000000000000000,11292,48203350010497,48203350010497
11319,92.000000000000000,11319,22930029010497,22930029010497
11341,19.000000000000000,11341,40218497010497,40218497010497
11399,2.000000000000000,11399,216959695020004,216959695020004
11401,6.000000000000000,11401,345935456489998,345935456489998
18718,1.000000000000000,18718,40389018010690,40389018010690
18737,1.000000000000000,18737,40389021010690,40389021010690
18743,32.000000000000000,18743,188770778020004,188770778020004
18746,29.000000000000000,18746,40389030010690,40389030010690
