CN,total_TD
12965290010497,74.965282
12965572010497,974.548672
12965856010497,299.86113
12966246010497,74.965282
12967289010497,524.756976
12969073010497,74.965282
12970163010497,149.930565
12970308010497,524.756976
12988512010497,599.722259
12988854010497,374.826412
12990036010497,1949.097344
12990744010497,824.618106
12998890010497,149.930565
12999289010497,149.930565
13000318010497,1199.444517
13008616010497,3523.3682740000004
13009244010497,299.861129
13020972010497,1049.5139530000001
13023123010497,224.895847
13024455010497,299.861129
13025184010497,899.58339
13025401010497,524.756976
13026273010497,599.72226
13027182010497,599.72226
13027896010497,1499.305648
13050584010497,449.791694
13050884010497,599.722259
13051689010497,674.687542
13055193010497,1499.305648
13055470010497,74.965282
13194596010497,224.895846
13195112010497,824.618107
13195383010497,2248.958473
13196361010497,1124.479235
13196629010497,224.895846
13197377010497,524.756977
13198972010497,749.652824
13199766010497,599.722259
13204702010497,4347.986381
13205354010497,5172.604488
13206482010497,299.86113
174763278020004,74.965282
174763336020004,374.826412
174763373020004,1049.5139530000001
174763390020004,149.930565
174763508020004,1349.3750839999998
174763517020004,74.965282
174763660020004,224.895846
174763728020004,149.930565
174763770020004,1124.479237
193209083020004,524.756976
193209119020004,224.895847
193209139020004,7796.389375
193209140020004,3073.576581
193209141020004,1424.340366
193209169020004,1349.375083
193209185020004,74.965282
193209197020004,5322.535053
193209224020004,2248.958472
216958721020004,74.965282
216958791020004,224.895847
216958927020004,74.965282
216959362020004,74.965282
216959617020004,824.618107
216960325020004,1349.375084
216960349020004,524.756976
216960487020004,5547.430901
216960724020004,149.930565
216960797020004,299.86113
216960900020004,749.652823
216961465020004,299.86113
216961472020004,149.930565
216961495020004,749.652824
216961561020004,224.895847
22398186010497,599.72226
22398189010497,74.965282
22398191010497,74.965282
22398195010497,149.930565
22398199010497,824.618105
22398239010497,1199.444518
22398248010497,224.895847
22398250010497,1199.4445190000001
22398278010497,449.791695
22398282010497,224.895846
22398299010497,149.930564
22398300010497,449.791695
22398319010497,3898.194686
22398320010497,524.756977
22398322010497,374.826412
22398354010497,449.791695
22398356010497,2099.02791
22398358010497,2323.923754
22398359010497,449.791694
22398361010497,74.965282
22398370010497,1274.409801
22398371010497,224.895846
22398373010497,974.548672
22398388010497,524.756977
22398390010497,299.86113
22398395010497,899.58339
22398400010497,149.930564
22398409010497,449.791695
22398415010497,74.965282
22398469010497,749.652825
22398471010497,1049.5139530000001
22398473010497,299.861129
22398482010497,1949.097344
22398506010497,149.930564
22398511010497,299.86113
22398513010497,149.930565
22398514010497,374.826411
22398515010497,1049.5139530000001
22398520010497,599.722259
22398522010497,899.58339
22398525010497,599.722258
22398531010497,1199.4445180000002
22398536010497,149.930565
22398563010497,824.618106
22398565010497,449.791694
22398567010497,2923.646017
22398610010497,674.687542
22398612010497,149.930565
22398618010497,2099.027908
22398620010497,149.930565
22398623010497,749.652825
22398624010497,74.965282
22398636010497,149.930565
22398649010497,749.652824
22398650010497,749.652824
22398651010497,149.930565
22398652010497,1499.305648
22398656010497,1499.305649
22398699010497,899.583388
22398702010497,599.722258
22398715010497,674.687541
22398716010497,74.965282
22398741010497,74.965282
22398742010497,224.895847
22398756010497,74.965282
22398757010497,149.930564
