CN,total_TD
40220375010497,38382
30764972020004,34259
273642268489998,30586
188764567020004,25863
174763863020004,23014
30763617020004,20690
29395672010497,19491
238861527489998,18292
216959957020004,18666
174763135020004,17917
12288375010690,21365
44540700020004,23539
22954484010497,17992
22954384010497,15068
30764239020004,15443
188762763020004,14843
168240361020004,14693
31356321010690,14318
346864583489998,14618
29881630010497,18816
40220711010497,13944
12350094010690,13794
22825788010497,26013
346864599489998,16267
29881805010497,13794
22933177010497,13419
44543661020004,13119
345935583489998,21065
40219775010497,14543
40403480010497,15818
174764024020004,14168
22954650010497,12669
40220810010497,17242
216959079020004,15893
12282071010690,16942
304210312489998,15068
216961559020004,12669
273641036489998,11994
40220671010497,12444
40403171010497,11095
48205273010497,13269
273640551489998,10945
40403281010497,13719
22954513010497,11170
22954586010497,10945
29882600010497,10645
29883224010497,12219
40219468010497,11245
40220631010497,11545
44540506020004,11245
22954358010497,10045
35371001010690,11919
30764264020004,9596
290008487489998,10495
29881541010497,15968
37274419010690,9446
188765842020004,9146
29881887010497,9820
216960487020004,9671
290008435489998,10270
188765886020004,12219
29881808010497,12444
22931122010497,12219
29881891010497,10270
345934013489998,8771
40220529010497,9071
37275542010690,11695
346864369489998,9446
188762458020004,9221
238861320489998,18441
345935884489998,10945
48205870010497,8171
22931080010497,8396
40220840010497,8171
29883481010497,7871
40220860010497,8021
188765918020004,8621
35375879010690,8771
273640428489998,11020
40220546010497,11994
12282294010690,10570
174763861020004,7571
30852569020004,9671
40220870010497,8321
22931094010497,7197
273640951489998,8771
31359153010690,8846
40220725010497,7272
29883122010497,7197
40220286010497,13269
44542098020004,8021
174763125020004,13869
188770790020004,11170
346864728489998,13269
35377567010690,8546
22825934010497,7122
22933197010497,6747
345933351489998,7272
345934914489998,6822
30763951020004,7946
30852603020004,6672
345936688489998,6522
221275617010661,10195
37275903010690,7796
193209197020004,6597
216958791020004,7871
290008707489998,7721
30764474020004,10270
29395089010497,6072
29883112010497,6072
48206133010497,6072
12287677010690,6147
346864215489998,6072
48203713010497,9371
30852501020004,6372
40389134010690,7122
188770437020004,7122
29881462010497,7571
44542279020004,5922
174764040020004,5697
188770590020004,6147
216961683020004,6747
22930921010497,5847
30764666020004,5697
345936690489998,5997
346864704489998,7497
22932701010497,7871
273640510489998,8771
29883367010497,6147
35375819010690,5622
40396558010690,13044
48205120010497,5847
188762311020004,6147
345933621489998,9745
188762723020004,6897
238861588489998,6072
30764443020004,5547
40403501010497,5922
290008475489998,5472
290009099489998,10045
40219990010497,5697
40391402010690,8996
22954373010497,5323
244683589489998,7946
30764278020004,5922
22933043010497,6297
346863993489998,5997
44543459020004,8096
188762498020004,6297
273640523489998,7497
345935551489998,7047
48206239010497,6597
188764243020004,6522
216960544020004,8471
30764679020004,5173
48204187010497,5173
48204447010497,5772
22933178010497,5772
31352846010690,6297
40220653010497,9970
40390646010690,6672
44543220020004,7721
238861049489998,6747
345933506489998,5847
345933733489998,7946
29395623010497,8996
29883079010497,6222
346864277489998,6597
37274322010690,5098
40220104010497,9371
48202478010497,5248
48203794010497,4873
22827321010497,5173
22827456010497,4798
40220730010497,6822
174763988020004,4873
22954616010497,5023
31440139010690,6372
35372033010690,6072
40220885010497,5922
40389152010690,10795
48204991010497,4723
22954234010497,7571
30852135020004,6447
40220530010497,6897
40389524010690,4648
44541628020004,6147
216960140020004,4573
